Date,Open,High,Low,Close,Adj Close,Volume
1996-08-13,1.789474,2.105263,1.789474,2.063158,2.020758,18600
1996-08-14,2.105263,2.105263,2.000000,2.042105,2.000139,9700
1996-08-15,2.042105,2.042105,2.021053,2.021053,1.979518,1600
1996-08-16,2.021053,2.021053,1.936842,1.936842,1.897038,1900
1996-08-19,1.936842,2.042105,1.915789,2.042105,2.000139,8300
1996-08-20,2.042105,2.105263,2.042105,2.063158,2.020758,29600
1996-08-21,2.210526,2.526316,2.105263,2.505263,2.453778,27500
1996-08-22,2.526316,2.694737,2.421053,2.421053,2.371298,19000
1996-08-23,2.526316,2.526316,2.336842,2.526316,2.474398,5200
1996-08-26,2.357895,2.421053,2.315789,2.315789,2.268198,22800
1996-08-27,2.336842,2.421053,2.315789,2.357895,2.309438,24100
1996-08-28,2.526316,2.694737,2.526316,2.526316,2.474398,27700
1996-08-29,2.484210,2.484210,2.421053,2.484210,2.433158,13300
1996-08-30,2.421053,2.484210,2.421053,2.421053,2.371298,4700
1996-09-02,null,null,null,null,null,null
1996-09-03,2.526316,2.526316,2.105263,2.315789,2.268198,8300
1996-09-04,2.421053,2.421053,2.210526,2.210526,2.165098,8900
1996-09-05,2.315789,2.315789,2.210526,2.210526,2.165098,8500
1996-09-06,2.210526,2.210526,2.210526,2.210526,2.165098,0
1996-09-09,2.315789,2.421053,2.315789,2.315789,2.268198,9200
1996-09-10,2.315789,2.315789,2.315789,2.315789,2.268198,0
1996-09-11,2.421053,2.421053,2.105263,2.105263,2.061999,5700
1996-09-12,2.210526,2.210526,2.105263,2.105263,2.061999,36500
1996-09-13,2.315789,2.610526,2.315789,2.526316,2.474398,53300
1996-09-16,2.421053,2.421053,2.315789,2.315789,2.268198,2800
1996-09-17,2.336842,2.421053,2.315789,2.315789,2.268198,6700
1996-09-18,2.421053,2.463158,2.421053,2.463158,2.412538,9000
1996-09-19,2.378947,2.378947,2.315789,2.315789,2.268198,26400
1996-09-20,2.273684,2.842105,2.273684,2.842105,2.783698,82700
1996-09-23,2.842105,3.326316,2.842105,3.200000,3.134238,104800
1996-09-24,3.242105,3.242105,2.947368,3.031579,2.969278,69400
